Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
Cipher Barber Lake,Cipher Mining Technologies Inc.,951 Co Rd 204,79512,Colorado City,Texas,USA,32.39836459917237,-100.9152609828144,120800021003,Colorado City-Colorado River
Cipher Odessa,Cipher Mining Technologies Inc.,2901 Navasota Dr,79766,Odessa,Texas,USA,31.84269538410869,-102.3226758013709,120800050402,City of Odessa-Willow Well
2323 Bryan Street (DFW10),Digital Realty,2323 Bryan Street,75201,Dallas,Texas,USA,32.7872116,-96.7942191,120301050101,Turtle Creek
4025 Midway Rd (DFW11),Digital Realty,4025 Midway Rd,75007,Carrollton,Texas,USA,33.021641,-96.844558,120301031003,Indian Creek-Elm Fork Trinity River
H5Colo  Inc.,H5 Colo Inc.,12712 Park Central Dr,75251,Dallas,Texas,USA,32.9215006,-96.7765026,120301050104,Floyd Branch-White Rock Creek
1232 Alma Road (DFW16),Digital Realty,1232 Alma Road,75081,Richardson,Texas,USA,32.966302,-96.715742,120301060501,Duck Creek
8435 Stemmons Freeway (DFW36),Digital Realty,8435 Stemmons Freeway,75247,Dallas,Texas,USA,32.8275321,-96.8737468,120301050101,Turtle Creek
900 Quality Way (DFW17),Digital Realty,900 Quality Way,75081,Richardson,Texas,USA,32.9672275,-96.7133702,120301060501,Duck Creek
1210 Integrity Drive (DFW18),Digital Realty,1210 Integrity Drive,75081,Richardson,Texas,USA,32.96641528,-96.71448144,120301060501,Duck Creek
850 E. Collins Boulevard (DFW28),Digital Realty,850 E. Collins Boulevard,75081,Richardson,Texas,USA,32.9679639,-96.7137273,120301060501,Duck Creek
1215 Integrity Drive (DFW25),Digital Realty,1215 Integrity Drive,75081,Richardson,Texas,USA,32.96451597,-96.71448144,120301060501,Duck Creek
Cologix DAL1,Cologix,1950 N. Stemmons Fwy,75207,Dallas,Texas,USA,32.799962,-96.820615,120301050101,Turtle Creek
Cologix DAL2,Cologix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.800748,-96.819412,120301050101,Turtle Creek
Cologix DAL3,Cologix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.800748,-96.819412,120301050101,Turtle Creek
950 E. Collins Boulevard (DFW29),Digital Realty,950 E. Collins Boulevard,75081,Richardson,Texas,USA,32.9672132,-96.7106402,120301060501,Duck Creek
2440 Marsh Lane (DFW12),Digital Realty,2440 Marsh Lane,75006,Carrollton,Texas,USA,32.9799672,-96.8534887,120301031004,Grapevine Creek-Elm Fork Trinity River
4849 Alpha Road (DFW14),Digital Realty,4849 Alpha Road,75244,Dallas,Texas,USA,32.93394,-96.827985,120301031005,Farmers Branch-Elm Fork Trinity River
907 Security Row (DFW35),Digital Realty,907 Security Row,75081,Richardson,Texas,USA,32.9642249,-96.711535,120301060501,Duck Creek
Flexential Dallas - Richardson Data Center,Flexential,3010 Waterview Parkway,75080,Richardson,Texas,USA,32.9943532,-96.756215,120301050104,Floyd Branch-White Rock Creek
Hivelocity - Dallas 1,Hivelocity,1515 Round Table Dr,75247,Dallas,Texas,USA,32.8379674,-96.878352,120301050101,Turtle Creek
2501 S. State Highway 121 (DFW26),Digital Realty,2501 S. State Highway 121,75056,Lewisville,Texas,USA,33.0533231,-96.9173431,120301031001,Prairie Creek-Elm Fork Trinity River
Flexential Dallas - Downtown Data Center,Flexential,1950 Stemmons Freeway,75207,Dallas,Texas,USA,32.799962,-96.820615,120301050101,Turtle Creek
Flexential Dallas - Plano Data Center,Flexential,3500 E Plano Pkwy,75074,Plano,Texas,USA,33.0080247,-96.6665125,120301060406,Brown Branch-Rowlett Creek
Datacenter Park - Dallas,Digital Realty,900-908 Quality Way,75081,Richardson,Texas,USA,32.96608457497533,-96.71216817582877,120301060501,Duck Creek
Digital Realty Garland Campus,Digital Realty,1702 W Campbell Rd / 1502 Ferris Rd / 1505 Ferris Rd,75044,Garland,Texas,USA,32.977103,-96.650478,120301060406,Brown Branch-Rowlett Creek
908 Quality Way (DFW20),Digital Realty,908 Quality Way,75081,Richardson,Texas,USA,32.966215,-96.7099901,120301060501,Duck Creek
904 Quality Way (DFW21),Digital Realty,904 Quality Way,75081,Richardson,Texas,USA,32.96624917268467,-96.71115026551631,120301060501,Duck Creek
1702 W Campbell Rd,Digital Realty,1702 W Campbell Rd,75044,Garland,Texas,USA,32.977103,-96.650478,120301060406,Brown Branch-Rowlett Creek
1502 Ferris Rd,Digital Realty,1502 Ferris Rd,75044,Garland,Texas,USA,32.9742907,-96.64939869999999,120301060406,Brown Branch-Rowlett Creek
1505 Ferris Rd,Digital Realty,1505 Ferris Rd,75044,Garland,Texas,USA,32.974884,-96.6509725,120301060406,Brown Branch-Rowlett Creek
GDC - Dallas TX1 Data Center,"NTT DATA, Inc.",2008 Lookout Drive,75044,Garland,Texas,USA,32.981173,-96.6563479,120301060406,Brown Branch-Rowlett Creek
CyrusOne DFW1 - Carrollton,CyrusOne Data Centers,1649 Frankfort Road West,75007,Carrollton,Texas,USA,32.9940835,-96.9314096,120301031003,Indian Creek-Elm Fork Trinity River
"IRVING-TX (Dallas, Texas)",Cloudnium LLC.,6001 W Campus Circle,75063,Irving city,Texas,USA,32.8933566,-96.9802641,120301031006,Cottonwood Branch-Hackberry Creek
Prime Dallas Data Center Campus,Prime Data Centers,1515 Round Table,75247,Dallas,Texas,USA,32.837943,-96.878977,120301050101,Turtle Creek
CyrusOne DFW3 - Allen,CyrusOne Data Centers,2300 Chelsea Blvd,75013,Allen,Texas,USA,33.140293,-96.659802,120301060207,Lower Wilson Creek
TierPoint Dallas,TierPoint,3004 Irving Blvd,75247,Dallas,Texas,USA,32.808607,-96.857145,120301050101,Turtle Creek
CyrusOne DFW2 - Lewsiville,CyrusOne Data Centers,2501 S. State Hwy 121 Business,75067,Lewsiville,Texas,USA,33.0010876,-96.9963813,120301031002,Timber Creek
