Name,Company,Address,Postal,City,State,Country
Microsoft Goodyear Airpark Campus,Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
PhoenixNAP East Elwood,PhoenixNAP,3221 E Elwood St,85034,Phoenix,Arizona,USA
Microsoft Goodyear Campus,Microsoft,3785 N Citrus Rd,85395,Goodyear,Arizona,USA
Microsoft GoodyearAirpark (PHX10),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
EdgeCore PH05,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
EdgeCore PH04,EdgeCore,3856 S Everton Terrace,85212,Mesa,Arizona,USA
Expedient Phoenix,Expedient Data Centers,2475 W Townley Ave,85021,Phoenix,Arizona,USA
Iron Mountain Data Centers AZP-3,Iron Mountain Data Centers,1110 N 52nd St,85008,Phoenix,Arizona,USA
QTS Phoenix Campus,QTS Data Centers,1200 40th Street,85008,Phoenix,Arizona,USA
CGI Phoenix Data Center,CGI,within 15 km from downtown,85044,Phoenix,Arizona,USA
Vantage Phoenix Campus (AZ1),Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
Liquid Web Phoenix,Liquid Web,7025 N Scottsdale Rd,85253,Scottsdale,Arizona,USA
Southwest Crossing Data Center 3,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy,Arizona,USA
Southwest Crossing Data Center 2,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy,Arizona,USA
Southwest Crossing Data Center 1,"Ryan Companies US, Inc.",W Houser Rd,85131,Eloy,Arizona,USA
ClearData Data Center,Cleardata Networks,4250 E Camelback Rd,85018,Phoenix,Arizona,USA
Apple Mesa Data Center,Apple,3740 S Signal Butte Road,85212,Mesa,Arizona,USA
Hostrunway Phoenix,Hostrunway,2600 W Germann Rd Chandler,AZ 85286,Phoenix,Arizona,USA
NexusTek Data Center,NexusTek,1919 W Lone Cactus Dr,85027,Phoenix,Arizona,USA
Meta Mesa Campus,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
Microsoft Goodyear Airpark (PHX14),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
Microsoft El Mirage (PHX81),Microsoft,12901 W Olive Ave,85335,El Mirage,Arizona,USA
Compass Goodyear - Building 3,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Compass Goodyear - Building 2,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Aligned PHX14,Aligned Data Centers,8805 N Reems Rd,85355,Waddell,Arizona,USA
Microsoft El Mirage (PHX82),Microsoft,12901 W Olive Ave,85335,El Mirage,Arizona,USA
Compass Goodyear - Building 6,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Compass Goodyear - Building 5,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Vermaland Pinal County,Vermaland,E Sasco Rd,85131,Eloy,Arizona,USA
Windstream Phoenix,Windstream,1710 E Grant St,85034,Phoenix,Arizona,USA
Aligned PHX12,Aligned Data Centers,8805 N Reems Rd,85355,Waddell,Arizona,USA
Amazon AWS - Loop 202 & Dobbins Road,Amazon AWS,Loop 202 and W Dobbins Road,85339,Laveen,Arizona,USA
Aligned PHX07,Aligned Data Centers,8785 N Reems Rd,85355,Waddell,Arizona,USA
QTS Avondale,QTS Data Centers,S Avondale Blvd & W Lower Buckeye Rd,85353,Avondale,Arizona,USA
Phoenix Internet,Phoenix Internet,2922 W Clarendon Ave,85017,Phoenix,Arizona,USA
Aligned PHX08,Aligned Data Centers,3202 W Behrend Dr,85027,Chandler,Arizona,USA
QTS Glendale,QTS Data Centers,4001 N 159th Ave,85305,Glendale,Arizona,USA
Aligned - Peoria Logistics Park,Aligned Data Centers,"Peoria Logistics Park, N 75th Ave & W Northern Ave",85345,Peoria,Arizona,USA
Microsoft Goodyear Airpark (PHX11),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
Microsoft Goodyear Airpark (PHX12),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
Microsoft Goodyear Airpark (PHX13),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
Microsoft Goodyear (PHX71),Microsoft,3785 N Citrus Rd,85395,Goodyear,Arizona,USA
Compass Goodyear - Building 4,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Compass Goodyear - Building 8,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Compass Goodyear - Building 7,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Aligned PHX09,Aligned Data Centers,3151 W Behrend Dr,85027,Chandler,Arizona,USA
Microsoft El Mirage (PHX80),Microsoft,12901 W Olive Ave,85335,El Mirage,Arizona,USA
Microsoft El Mirage (PHX83),Microsoft,12901 W Olive Ave,85335,El Mirage,Arizona,USA
Compass Goodyear - Building 1,Compass Datacenters,850 S Bullard Ave,85338,Goodyear,Arizona,USA
Aligned PHX04,Aligned Data Centers, S Price Rd & W Innovation St,85286,Chandler,Arizona,USA
Lumen Phoenix 3,Lumen,801 South 16th Street,85034,Phoenix,Arizona,USA
Aligned PHX06,Aligned Data Centers,2500 S Price Rd,85286,Chandler,Arizona,USA
Microsoft Goodyear Airpark (PHX15),Microsoft,W Broadway Rd,85338,Goodyear,Arizona,USA
Hassayampa Ranch,Arizona Land Consulting (ALC),"Hassayampa Ranch, Tonopah Salome Hwy",85354,Buckeye,Arizona,USA
Johnson Road and Southern Avenue,Arizona Land Consulting (ALC),W Southern Ave & S Johnson Rd,85326,Buckeye,Arizona,USA
NTT Pecos Road Campus,"NTT DATA, Inc.",E Pecos Rd & S Crismon Rd,85212,Mesa,Arizona,USA
Pinal Airpark Road,Beale Infrastructure,E Pinal Airpark Rd & I-10,85653,Marana,Arizona,USA
Aligned PHX13,Aligned Data Centers,8805 N Reems Rd,85355,Waddell,Arizona,USA
Compass PHX II Campus,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage,Arizona,USA
Compass PHX II - Building 3,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage,Arizona,USA
Compass PHX II - Building 1,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage,Arizona,USA
Compass PHX II - Building 2,Compass Datacenters,W Peoria Ave & N El Mirage Rd,85335,El Mirage,Arizona,USA
Fortescue Buckeye,Fortescue,W Patterson Rd,85326,Buckeye,Arizona,USA
HBS Phoenix,Heartland Business System,10201 S 51st St,85044,Phoenix,Arizona,USA
ColoHouse Phoenix,ColoHouse,2335 South Ellis Street,85286,Chandler,Arizona,USA
EdgeCore Florence Tech Park - Building 5,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
EdgeCore Florence Tech Park - Building 9,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
GDC - Phoenix PH6 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
EdgeCore Florence Tech Park - Building 3,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
Amazon AWS PHX - 9848 E Pecos Road,Amazon AWS,9848 E Pecos Rd,85212,Mesa,Arizona,USA
EdgeCore Florence Tech Park - Building 7,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
NTT Elliot Road Campus,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
EdgeCore Florence Tech Park - Building 8,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
EdgeCore Florence Tech Park - Building 2,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
EdgeCore Florence Tech Park - Building 6,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
Google Mesa Campus,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa,Arizona,USA
EdgeCore Florence Tech Park - Building 4,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
Amazon AWS PHX - 10464 E Pecos Road,Amazon AWS,10464 E Pecos Rd,85212,Mesa,Arizona,USA
Vantage AZ15 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
EdgeCore Florence Tech Park,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
EdgeCore Florence Tech Park - Building 10,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
EdgeCore Florence Tech Park - Building 1,EdgeCore,E Arizona Farms Rd & N Attaway Rd,85143,Florence,Arizona,USA
Vantage AZ14 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
Project Baccara - Building 1,"Takanock, LLC",14707-14323 W Olive Ave,85355,Waddell,Arizona,USA
Project Baccara - Building 2,"Takanock, LLC",14707-14323 W Olive Ave,85355,Waddell,Arizona,USA
GDC - Phoenix PH4 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
