state,state_abbr,year,cumulative_dc_mw,cumulative_dc_count,new_dc_mw,new_dc_count,cumulative_dc_energy_twh,new_dc_energy_twh,dc_share_of_state_pct,new_dc_share_of_change_pct,cumulative_ai_count,ai_ratio,cumulative_dc_mw_lag1,cumulative_dc_mw_lag2,dc_growth_mw,electricity_gwh,electricity_change_gwh,electricity_pct_change,log_dc_mw,log_elec_gwh,population_millions,gdp_billions,dc_per_million_pop,dc_mw_per_million_pop,dc_per_billion_gdp,elec_per_capita_mwh,dc_intensity,is_high_dc_state
New Mexico,NM,2012,24.0,2,0.0,0,0.17344800000000002,0.0,748.3119750969948,0.0,0,0.0,24.0,24.0,0.0,23.178568,0.1369029899999994,0.5941540680353785,3.2188758248682006,3.185466620934993,2.1,115,0.9523809523809523,11.428571428571429,0.017391304347826087,0.011037413333333333,20.869565217391305,0
New Mexico,NM,2013,36.0,3,12.0,1,0.260172,0.08672400000000001,1127.9935257822817,100.0,0,0.0,24.0,24.0,12.0,23.065026000000003,-0.11354199999999537,-0.4898576995783147,3.6109179126442243,3.1807595831617195,2.1,115,1.4285714285714286,17.142857142857142,0.02608695652173913,0.010983345714285716,31.30434782608696,0
New Mexico,NM,2014,36.0,3,0.0,0,0.260172,0.0,1125.5440246258504,0.0,0,0.0,36.0,24.0,0.0,23.115222000000003,0.050195999999999685,0.21762819604018518,3.6109179126442243,3.1828432593670124,2.1,115,1.4285714285714286,17.142857142857142,0.02608695652173913,0.011007248571428572,31.30434782608696,0
New Mexico,NM,2015,36.0,3,0.0,0,0.260172,0.0,1126.6001376546087,0.0,0,0.0,36.0,36.0,0.0,23.09355301,-0.021668990000001997,-0.09374337828121224,3.6109179126442243,3.1819442947509318,2.1,115,1.4285714285714286,17.142857142857142,0.02608695652173913,0.010996930004761905,31.30434782608696,0
New Mexico,NM,2016,36.0,3,0.0,0,0.260172,0.0,1129.240952033805,0.0,0,0.0,36.0,36.0,0.0,23.03954701,-0.05400600000000111,-0.23385747518632305,3.6109179126442243,3.179700266311435,2.1,115,1.4285714285714286,17.142857142857142,0.02608695652173913,0.01097121286190476,31.30434782608696,0
New Mexico,NM,2017,36.0,3,0.0,0,0.260172,0.0,1130.7114466435862,0.0,0,0.0,36.0,36.0,0.0,23.00958399,-0.029963020000000284,-0.13005038678492786,3.6109179126442243,3.1784530835524434,2.1,115,1.4285714285714286,17.142857142857142,0.02608695652173913,0.010956944757142857,31.30434782608696,0
New Mexico,NM,2018,920.0,20,884.0,17,6.508679999999998,6.248507999999998,27064.681626337864,100.0,10,0.5,36.0,36.0,884.0,24.04861099,1.0390270000000008,4.515627055454647,6.825460036255307,3.2208183764924954,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.01145171951904762,800.0000000000001,0
New Mexico,NM,2019,920.0,20,0.0,0,6.508679999999998,0.0,26160.148494377074,0.0,10,0.5,920.0,36.0,0.0,24.880133999999998,0.831523009999998,3.457675831447253,6.825460036255307,3.2534756473627264,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.011847682857142857,800.0000000000001,0
New Mexico,NM,2020,920.0,20,0.0,0,6.508679999999998,0.0,26268.875491851715,0.0,10,0.5,920.0,920.0,0.0,24.777155009999998,-0.10297899000000044,-0.41390046371936917,6.825460036255307,3.249488634943427,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.011798645242857142,800.0000000000001,0
New Mexico,NM,2021,920.0,20,0.0,0,6.508679999999998,0.0,25631.038333195316,0.0,10,0.5,920.0,920.0,0.0,25.39374299,0.616587980000002,2.4885342152928724,6.825460036255307,3.2731269741069013,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.012092258566666667,800.0000000000001,0
New Mexico,NM,2022,920.0,20,0.0,0,6.508679999999998,0.0,23967.58485230696,0.0,10,0.5,920.0,920.0,0.0,27.15617798,1.7624349899999991,6.940430131525085,6.825460036255307,3.3377667969363056,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.012931513323809525,800.0000000000001,0
New Mexico,NM,2023,920.0,20,0.0,0,6.508679999999998,0.0,22960.339674207124,0.0,10,0.5,920.0,920.0,0.0,28.34749003,1.1913120500000005,4.386891450178957,6.825460036255307,3.3792070240481893,2.1,115,9.523809523809524,438.0952380952381,0.17391304347826086,0.013498804776190476,800.0000000000001,0
New York,NY,2005,278.0,16,12.0,1,1.9810739999999998,0.08672400000000001,1319.4179478268084,100.0,2,0.125,266.0,242.0,12.0,150.147571,5.06586200000001,3.4917303048863384,5.631211781821365,5.01825665096733,20.2,2000,0.7920792079207921,13.762376237623762,0.008,0.00743304806930693,13.9,1
New York,NY,2006,278.0,16,0.0,0,1.9810739999999998,0.0,1392.7879577681686,0.0,2,0.125,278.0,266.0,0.0,142.238019,-7.909551999999991,-5.267852118633335,5.631211781821365,4.964507715098826,20.2,2000,0.7920792079207921,13.762376237623762,0.008,0.007041486089108911,13.9,1
New York,NY,2007,290.0,17,12.0,1,2.067798,0.08672400000000001,1395.486952498187,100.0,2,0.11764705882352941,278.0,278.0,12.0,148.17752299999998,5.939503999999971,4.175749944886374,5.673323267171493,5.005137026286741,20.2,2000,0.8415841584158417,14.356435643564357,0.0085,0.007335520940594059,14.5,1
New York,NY,2008,326.0,20,36.0,3,2.3279699999999997,0.260172,1616.0517547521558,100.0,2,0.1,290.0,278.0,36.0,144.052936,-4.124586999999991,-2.783544303139682,5.7899601708972535,4.977098751658666,20.2,2000,0.9900990099009901,16.13861386138614,0.01,0.007131333465346534,16.3,1
New York,NY,2009,328.0,21,2.0,1,2.342424,0.014454,1672.749017514604,100.0,2,0.09523809523809523,326.0,290.0,2.0,140.03439699999998,-4.018539000000004,-2.789626585604617,5.796057750765372,4.949003810981729,20.2,2000,1.0396039603960396,16.237623762376238,0.0105,0.006932395891089109,16.4,1
New York,NY,2010,346.0,24,18.0,3,2.4725099999999998,0.130086,1709.617559827592,100.0,2,0.08333333333333333,328.0,326.0,18.0,144.62357302,4.589176020000025,3.277177692278009,5.849324779946859,4.981025025267662,20.2,2000,1.188118811881188,17.128712871287128,0.012,0.007159582822772278,17.3,1
New York,NY,2011,373.0,26,27.0,2,2.667639,0.195129,1851.9276629619335,100.0,2,0.07692307692307693,346.0,328.0,27.0,144.04660902,-0.5769640000000038,-0.3989418792192442,5.924255797414532,4.9770551322865595,20.2,2000,1.2871287128712872,18.465346534653467,0.013,0.007131020248514852,18.65,1
New York,NY,2012,373.0,26,0.0,0,2.667639,0.0,1863.3621719131856,0.0,2,0.07692307692307693,373.0,346.0,0.0,143.16266801,-0.8839410100000009,-0.6136493014405296,5.924255797414532,4.970942300972344,20.2,2000,1.2871287128712872,18.465346534653467,0.013,0.007087260792574257,18.65,1
New York,NY,2013,373.0,26,0.0,0,2.667639,0.0,1803.736914198667,0.0,2,0.07692307692307693,373.0,373.0,0.0,147.895127,4.732458989999998,3.3056515750806157,5.924255797414532,5.003242212492245,20.2,2000,1.2871287128712872,18.465346534653467,0.013,0.00732154094059406,18.65,1
New York,NY,2014,454.44,28,81.44,2,3.2421898799999997,0.5745508799999999,2200.0052888096798,100.0,3,0.10714285714285714,373.0,373.0,81.44,147.37191299,-0.5232140100000038,-0.35377366422627554,6.121263984642827,4.999722047254255,20.2,2000,1.3861386138613863,22.4970297029703,0.014,0.007295639256930693,22.722,1
New York,NY,2015,454.44,28,0.0,0,3.2421898799999997,0.0,2177.2280578927857,0.0,3,0.10714285714285714,454.44,373.0,0.0,148.91365506,1.541742069999998,1.046157329927999,6.121263984642827,5.010059495422679,20.2,2000,1.3861386138613863,22.4970297029703,0.014,0.007371963121782178,22.722,1
New York,NY,2016,460.44,29,6.0,1,3.28555188,0.043362000000000005,2222.9258100755055,100.0,3,0.10344827586206896,454.44,454.44,6.0,147.80303801,-1.1106170500000019,-0.7458127661647377,6.13435203465653,5.002623538924444,20.2,2000,1.4356435643564356,22.794059405940594,0.0145,0.00731698207970297,23.022,1
New York,NY,2017,472.44,30,12.0,1,3.3722758799999997,0.08672400000000001,2325.828879314574,100.0,3,0.1,460.44,454.44,12.0,144.99243302,-2.8106049900000016,-1.901588105252507,6.1600251886518995,4.98355479173505,20.2,2000,1.4851485148514851,23.38811881188119,0.015,0.007177843218811881,23.622,1
New York,NY,2018,3186.51,148,2714.07,118,22.88349177,19.51121589,15262.798980571257,100.0,11,0.07432432432432433,472.44,460.44,2714.07,149.92985099999999,4.937417979999992,3.4052935571602787,8.066995326716663,5.016815165958234,20.2,2000,7.326732673267327,157.7480198019802,0.074,0.0074222698514851485,159.3255,1
New York,NY,2019,3286.51,149,100.0,1,23.79891177,0.9154200000000001,16345.367703878355,100.0,11,0.0738255033557047,3186.51,472.44,100.0,145.60034500999998,-4.329505990000001,-2.8876877827351417,8.09788571830649,4.987710142860423,20.2,2000,7.376237623762377,162.69851485148516,0.0745,0.007207937871782178,164.3255,1
New York,NY,2020,3286.51,149,0.0,0,23.79891177,0.0,16949.99120247753,0.0,11,0.0738255033557047,3286.51,3186.51,0.0,140.40663199,-5.19371301999999,-3.567102138146225,8.09788571830649,4.951639654696397,20.2,2000,7.376237623762377,162.69851485148516,0.0745,0.006950823365841584,164.3255,1
New York,NY,2021,3460.51,152,174.0,3,25.056409770000002,1.257498,17717.253842315255,100.0,11,0.07236842105263158,3286.51,3286.51,174.0,141.42377815999998,1.0171461699999895,0.7244288646368445,8.149460189034896,4.958806966498697,20.2,2000,7.524752475247525,171.31237623762377,0.076,0.007001177136633663,173.02550000000002,1
New York,NY,2022,3510.51,153,50.0,1,25.51411977,0.45771000000000006,17815.814304729567,100.0,11,0.0718954248366013,3460.51,3286.51,50.0,143.21051698,1.7867388200000107,1.2633934994853422,8.163801423380868,4.971274155478447,20.2,2000,7.574257425742575,173.78762376237626,0.0765,0.007089629553465346,175.52550000000002,1
New York,NY,2023,3510.51,153,0.0,0,25.51411977,0.0,18299.932209849667,0.0,11,0.0718954248366013,3510.51,3460.51,0.0,139.42193598,-3.7885809999999935,-2.6454628332422585,8.163801423380868,4.944651718561431,20.2,2000,7.574257425742575,173.78762376237626,0.0765,0.006902076038613862,175.52550000000002,1
North Carolina,NC,2005,101.0,7,0.0,0,0.715911,0.0,557.8438437906331,0.0,1,0.14285714285714285,101.0,101.0,0.0,128.335377,2.6785699999999935,2.131655310961382,4.624972813284271,4.862408852376713,10.4,700,0.673076923076923,9.711538461538462,0.01,0.012339940096153846,14.428571428571429,1
North Carolina,NC,2006,101.0,7,0.0,0,0.715911,0.0,565.048752287104,0.0,1,0.14285714285714285,101.0,101.0,0.0,126.69897900000001,-1.6363979999999856,-1.2750950192011246,4.624972813284271,4.849675767705043,10.4,700,0.673076923076923,9.711538461538462,0.01,0.012182594134615385,14.428571428571429,1
North Carolina,NC,2007,101.0,7,0.0,0,0.715911,0.0,542.8472148407644,0.0,1,0.14285714285714285,101.0,101.0,0.0,131.880754,5.181774999999988,4.089831694697388,4.624972813284271,4.889452139581535,10.4,700,0.673076923076923,9.711538461538462,0.01,0.01268084173076923,14.428571428571429,1
North Carolina,NC,2008,101.0,7,0.0,0,0.715911,0.0,550.4075416875482,0.0,1,0.14285714285714285,101.0,101.0,0.0,130.06925701,-1.8114969899999949,-1.373587073971381,4.624972813284271,4.875725862965048,10.4,700,0.673076923076923,9.711538461538462,0.01,0.012506659327884615,14.428571428571429,1
North Carolina,NC,2009,101.0,7,0.0,0,0.715911,0.0,560.8039587465497,0.0,1,0.14285714285714285,101.0,101.0,0.0,127.65797902,-2.411277990000002,-1.853841595954237,4.624972813284271,4.857157557947157,10.4,700,0.673076923076923,9.711538461538462,0.01,0.012274805675,14.428571428571429,1
North Carolina,NC,2010,101.0,7,0.0,0,0.715911,0.0,524.8039277507025,0.0,1,0.14285714285714285,101.0,101.0,0.0,136.41494702,8.756968,6.859710663779237,4.624972813284271,4.923005158587778,10.4,700,0.673076923076923,9.711538461538462,0.01,0.013116821828846154,14.428571428571429,1
North Carolina,NC,2011,120.8,11,19.8,4,0.8590055999999999,0.14309460000000002,655.30460306139,100.0,1,0.09090909090909091,101.0,101.0,19.799999999999997,131.08493302,-5.330014000000006,-3.9072067368237615,4.802380355275797,4.88344514764247,10.4,700,1.0576923076923077,11.615384615384615,0.015714285714285715,0.012604320482692307,17.257142857142856,1
North Carolina,NC,2012,123.3,12,2.5,1,0.8770730999999999,0.018067500000000004,684.7592088787551,100.0,1,0.08333333333333333,120.8,101.0,2.5,128.084893,-3.00004002,-2.288623071228389,4.822697998516666,4.860470273189831,10.4,700,1.1538461538461537,11.85576923076923,0.017142857142857144,0.012315855096153846,17.614285714285714,1
North Carolina,NC,2013,156.3,14,33.0,2,1.1155640999999998,0.238491,859.5815351707381,100.0,1,0.07142857142857142,123.3,120.8,33.000000000000014,129.77990502999998,1.6950120299999867,1.3233504672561087,5.058154810064233,4.8735157959514925,10.4,700,1.346153846153846,15.028846153846155,0.02,0.012478837022115382,22.32857142857143,1
North Carolina,NC,2014,156.3,14,0.0,0,1.1155640999999998,0.0,837.9334780303636,0.0,1,0.07142857142857142,156.3,123.3,0.0,133.13277596,3.352870930000023,2.58350545812541,5.058154810064233,4.898830174740993,10.4,700,1.346153846153846,15.028846153846155,0.02,0.012801228457692307,22.32857142857143,1
North Carolina,NC,2015,158.7,15,2.4,1,1.1329088999999999,0.017344800000000004,846.4175314508,100.0,1,0.06666666666666667,156.3,156.3,2.3999999999999773,133.84752299,0.7147470299999839,0.536867818496274,5.073297055220967,4.904144680785221,10.4,700,1.4423076923076923,15.259615384615383,0.02142857142857143,0.012869954133653846,22.67142857142857,1
North Carolina,NC,2016,158.7,15,0.0,0,1.1329088999999999,0.0,842.9110824067275,0.0,1,0.06666666666666667,158.7,156.3,0.0,134.40431899,0.5567960000000198,0.41599275620634324,5.073297055220967,4.908265257975352,10.4,700,1.4423076923076923,15.259615384615383,0.02142857142857143,0.012923492210576924,22.67142857142857,1
